"","fcdo_programme_id","country_type","Country"
"1","201267",2,"United Kingdom, United States, Belgium, Bolivia, Sweden, South Africa, Canada, Lebanon, Nigeria, Mozambique, India, Zambia, Unknown, Peru, Botswana, Guinea, Tanzania, Netherlands, Vietnam, Zimbabwe, Uganda, Indonesia, Switzerland, Japan, Guinea-Bissau, Denmark"
"2","201879",1,"Senegal, India, Kenya, Bangladesh, Uganda, Nigeria, Mali, Rwanda, Burkina Faso, Zambia, Mozambique"
"3","201879",2,"Senegal, India, Kenya, Bangladesh, Uganda, United Kingdom, Rwanda, Burkina Faso, Zambia, Mozambique, Nigeria"
"4","201884",1,"Nepal"
"5","201884",2,"United Kingdom, South Africa, India, Switzerland, Netherlands, Nepal, Botswana, Italy, Russia, Zimbabwe, Belgium, Uganda"
"6","202766",2,"United Kingdom, India, Australia, Ethiopia"
"7","202835",1,"Tunisia, Bangladesh, Ethiopia, Burkina Faso, Uganda, Zambia, Nigeria, India, China, Senegal, Pakistan, Kenya"
"8","202835",2,"United Kingdom, Bangladesh, United States, Italy, Sweden, South Africa, Canada, Kenya, UAE, Unknown, Australia, Israel, Pakistan, Uganda, Switzerland, Ethiopia"
"9","203051",1,"Bangladesh, Belgium, Denmark, France, Germany, India, Italy, Mexico, Nigeria, Norway, Pakistan, Sierra Leone, South Africa, Tanzania, United Arab Emirates, Uganda, United Kingdom, United States, Senegal, Colombia, Zimbabwe, Nepal, Myanmar, China"
"10","203051",2,"United Kingdom, France, Belgium, United States, Senegal, Colombia, Norway, Germany, Uganda, Canada, Ireland, Sweden, Bangladesh, Malaysia, Myanmar, China"
"11","203052",1,"Indonesia, Tanzania, United States"
"12","203052",2,"Unknown, Indonesia"
"13","203067",1,"United Kingdom, Nigeria, Indonesia, Sri Lanka, Pakistan, Tanzania, Rwanda, Ghana"
"14","203067",2,"Australia, United Kingdom, Unknown, Uganda, Ethiopia, Kenya, Rwanda, Ghana"
"15","203089",1,"Ghana, Cameroon, Liberia, Nigeria, United Kingdom, United States"
"16","203089",2,"Cameroon, Ghana, India, United Kingdom"
"17","203166",1,"Kenya, Somalia, Sierra Leone, Myanmar, Jordan, Lebanon, Nigeria, Ghana, Rwanda, Tanzania, Uganda"
"18","203166",2,"United Kingdom"
"19","203506",1,"Kenya, Senegal, India, Namibia"
"20","203506",2,"United Kingdom, Unknown"
"21","203529",1,"Bangladesh, Ethiopia, Jordan, Lebanon, Nepal, Rwanda"
"22","203529",2,"United Kingdom, Bangladesh, Ethiopia, Jordan, Netherlands, United States"
"23","203752",1,"Nigeria, Tanzania, Malawi, Uganda, India, Kenya, Mozambique, Kyrgyzstan, Tajikistan, Nepal, Bangladesh, Jamaica"
"24","203752",2,"United Kingdom, Switzerland, United States, Malawi"
"25","203844",1,"Bangladesh, Zambia, Ethiopia, Malawi, Nepal"
"26","203844",2,"United Kingdom"
"27","204043",1,"Ghana, Kenya, Malawi, Nigeria, Sierra Leone, South Africa, Tanzania, Uganda, Zambia, Bangladesh, Malaysia, Pakistan, Sri Lanka, India"
"28","204043",2,"Unknown"
"29","204136",1,"South Africa, United States, China, United Kingdom, Australia, Netherlands, Ireland"
"30","204136",2,"United States"
"31","204291",1,"India, Kenya, Tanzania, Indonesia, Chile, Sierra Leone, Uganda, Mexico, Malawi, Argentina, Pakistan, Dominican Republic, Bangladesh, Nepal, Rwanda, Niger, Nigeria, Ghana, Benin, Colombia, United States, Iraq, China, Ivory Coast, Turkey, Zambia, Peru, Botswana, Brazil, Guatemala, Italy, Ethiopia"
"32","204291",2,"Unknown"
"33","204324",2,"United Kingdom, India, United States, Niger, Germany, Pakistan"
"34","204764",1,"Lebanon, Morocco, Cameroon, Ethiopia, Indonesia, Nepal, Rwanda, Uganda, Australia, Bangladesh, Benin, Brazil, Cambodia, China, Colombia, France, Germany, Hong Kong, India, Ireland, Italy, Japan, Myanmar, Netherlands, Philippines, Singapore, Sri Lanka, Thailand, United Kingdom, United States, Angola, Bhutan, Botswana, Burkina Faso, Burundi, Chad, Ivory Coast, Equatorial Guinea, Eritrea, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Madagascar, Malawi, Malaysia, Maldives, Mali, Mauritania, Mauritius, Micronesia, Mozambique, Namibia, Niger, Nigeria, Pakistan, Réunion, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, Sudan, Taiwan, Togo, Western Sahara, Zambia, Zimbabwe, Mexico, Nicaragua, Peru, Egypt, Algeria, Belgium, Bolivia, Canada, Costa Rica, El Salvador, Guatemala, Haiti, Honduras, Iran, Norway, Tunisia, Turkey, Sweden, Cabo Verde, Central African Republic, Comoros, Djibouti, Libya, South Sudan"
"35","204764",2,"Unknown"
"36","204773",1,"Ghana, Kenya, Bangladesh, Bhutan, India, Nepal, Uganda, Zambia, Zimbabwe, Mozambique, Malawi, Brazil, Argentina, Mexico, Chile, Sierra Leone, Ethiopia, Kyrgyz Republic, Pakistan"
"37","204773",2,"United States, Ethiopia, Unknown, United Kingdom, Bangladesh, Mozambique, India, Sierra Leone, Sweden, Pakistan"
"38","205053",1,"Bangladesh, India, Nepal, Pakistan"
"39","205053",2,"Unknown, United States, United Kingdom"
"40","205219",1,"Rwanda, Bangladesh, Kenya, Pakistan, Tanzania, Uganda, Ethiopia, Mozambique, China, India, Ghana, Liberia, Myanmar, Sierra Leone, Nigeria, South Africa, Zambia, DRC, Paraguay, Indonesia"
"41","205219",2,"Unknown, Australia, United States, Germany, Pakistan, Canada, Norway, Mozambique, Italy, United Kingdom, Liberia, Uganda, Bangladesh, Ethiopia, Belgium"
"42","205271",1,"Nigeria, Ghana, Tanzania, Kenya, Bangladesh, Myanmar, Tajikistan, Uganda"
"43","205271",2,"Taiwan, Nigeria, Kenya, United Kingdom"
"44","300111",1,"Bangladesh, Cambodia, Cameroon, Colombia, Ivory Coast, Ethiopia, Ghana, India, Indonesia, Kenya, Lesotho, Madagascar, Malawi, Malaysia, Mali, Mozambique, Nepal, Nigeria, Pakistan, Rwanda, Senegal, Sweden, Togo, Uganda, United Kingdom, Tanzania"
"45","300111",2,"United Kingdom, Unknown"
"46","300342",1,"Malawi, Zimbabwe, Mozambique, United Kingdom, South Africa, Zambia, India, Nepal"
"47","300342",2,"United Kingdom, Sri Lanka"
"48","300346",2,"United Kingdom, Indonesia, Canada, South Africa, Switzerland, Netherlands, Rwanda, Uganda, India, Austria, Zambia, Tanzania, Kenya, Unknown, Ethiopia, Georgia"
"49","300347",2,"Unknown, United Kingdom, South Africa, United States, Uganda, Netherlands, Belgium, Cambodia, Thailand, Singapore, Norway, Japan, Canada, Kenya, Italy, Georgia, Sierra Leone, Zambia, Nigeria, Malawi, Ghana, Tanzania, Australia, Denmark, Pakistan, France, India, Ethiopia, Mali, Zimbabwe, Venezuela, Malaysia, Switzerland, China, Lebanon, Germany, Armenia, Sweden, Finland, Indonesia, Cuba, Botswana, Hong Kong, Gambia, Sudan, Cameroon"
"50","300482",1,"Ethiopia, Nepal, Iraq, Indonesia, Philippines, Syrian Arab Republic, Mozambique, Bangladesh, Kenya, Jordan, Ecuador, India, Nigeria, Switzerland, Uganda, United States, Denmark, United Kingdom, Sudan, Lebanon, South Sudan, Ghana"
"51","300482",2,"United Kingdom, Unknown"
"52","300484",1,"United Kingdom, Nepal, Colombia, Central African Republic"
"53","300484",2,"Ireland, United Kingdom, Unknown, United States, Switzerland"
"54","300649",1,"Kenya, Uganda, Ethiopia, Bangladesh, Nigeria"
"55","300649",2,"Peru, Ethiopia, Unknown"
"56","300815",1,"Kenya, Bangladesh, Philippines, India, Cameroon, Gambia, Uganda, South Africa, Malawi, Indonesia, Ethiopia, Tanzania, Tajikistan, Papua New Guinea, Jordan, Dominican Republic, Bolivia, Liberia, Sierra Leone, Nigeria, Rwanda, Mongolia"
"57","300815",2,"United Kingdom, Switzerland, United States"
"58","300966",1,"Rwanda, Thailand, Lebanon, France, Uganda, Jordan, United States, Bangladesh, India, Zambia, Tanzania, Colombia, Myanmar, Mali, Kenya"
"59","300966",2,"Unknown"
"60","301108",1,"India, Ethiopia, Peru, United Kingdom"
"61","301108",2,"India, Vietnam"
"62","301133",1,"United Kingdom, Sierra Leone, Nepal, Lebanon, Myanmar"
"63","301133",2,"Lebanon"
